professional_roles.name;created_at;salary.from;salary.to;employer.name;experience.name
Дата-сайентист;2023-09-30T15:10:50+0300;;;Микрокредитная Компания Кредито24;От 1 года до 3 лет
Дата-сайентист;2023-10-01T16:04:41+0300;;;ДСЛАБ;От 3 до 6 лет
Учитель, преподаватель, педагог;2023-10-02T15:21:46+0300;;350000.0;Березняк Антон Викторович;От 1 года до 3 лет
Научный специалист, исследователь;2023-10-02T13:24:02+0300;;;BostonGene Technologies;Нет опыта
Дата-сайентист;2023-09-29T18:20:16+0300;;;Spice Agency;От 3 до 6 лет
Дата-сайентист;2023-09-29T17:35:07+0300;;260000.0;Точка;От 3 до 6 лет
Аналитик;2023-09-29T17:33:57+0300;;;Ниармедик Ваш Доктор Рядом;От 1 года до 3 лет
Дата-сайентист;2023-09-29T16:22:08+0300;;;Ростелеком;От 1 года до 3 лет
Дата-сайентист;2023-09-30T16:57:16+0300;;;Sensemachine;От 3 до 6 лет
Дата-сайентист;2023-09-30T15:50:35+0300;;;билайн;От 1 года до 3 лет
Дата-сайентист;2023-09-29T10:22:31+0300;;;Первая Грузовая Компания;От 1 года до 3 лет
BI-аналитик, аналитик данных;2023-09-30T22:41:18+0300;;;Иннотех, Группа компаний;От 3 до 6 лет
Дата-сайентист;2023-10-01T15:38:33+0300;;;VK;От 1 года до 3 лет
Дата-сайентист;2023-10-01T11:52:31+0300;;;Домклик;От 3 до 6 лет
Дата-сайентист;2023-10-01T14:06:08+0300;;;билайн;От 1 года до 3 лет
Программист, разработчик;2023-10-01T13:54:55+0300;;;билайн;От 1 года до 3 лет
Дата-сайентист;2023-09-30T11:34:17+0300;;;билайн;От 1 года до 3 лет
Дата-сайентист;2023-09-30T11:49:31+0300;;;Компания БКС;От 1 года до 3 лет
Программист, разработчик;2023-09-30T18:00:07+0300;190000.0;290000.0;DIGINETICA;От 1 года до 3 лет
Дата-сайентист;2023-09-30T17:27:55+0300;;;Домклик;От 1 года до 3 лет
Аналитик;2023-09-29T20:53:01+0300;;;СБЕР;От 3 до 6 лет
Дата-сайентист;2023-09-30T13:32:47+0300;;;билайн;От 1 года до 3 лет
Аналитик;2023-09-28T13:09:01+0300;;;TWINO;От 1 года до 3 лет
Дата-сайентист;2023-09-28T09:56:52+0300;;;СБЕР;От 3 до 6 лет
Аналитик;2023-09-29T15:52:18+0300;;;Медиапоинт;От 3 до 6 лет
