name,id,u,v,length
Rond-Point Sainte-Dévote,4227273,1738360250,1726583899,2.639
Rond-Point Sainte-Dévote,4227273,1726583899,1738360251,1.85
Rond-Point Sainte-Dévote,4227273,1738360251,1726583776,2.605
Rond-Point Sainte-Dévote,4227273,1726583776,1738360241,3.588
Rond-Point Sainte-Dévote,4227273,1738360241,25193390,5.587
Rue de la Colle,4227277,1918966551,1079045459,35.432
Rue de la Colle,4227277,1079045459,6480060598,41.167
Rue de la Colle,4227277,6480060598,4940692951,2.431
,4229243,1074584672,1074584802,11.467
,4229243,1074584802,1074585045,7.13
,4229243,1074585045,1074584681,15.525
,4229243,1074584681,10197393646,5.838
,4229243,10197393646,4453069962,10.902
,4229243,4453069962,4453073043,9.204
Avenue des Papalins,4229273,25177397,4939779387,5.118
Avenue des Papalins,4229273,4939779387,25204286,5.382
Avenue des Papalins,4229273,25204286,25177819,7.701
Avenue des Papalins,4229274,25204258,25204471,6.284
Avenue des Papalins,4229274,25204471,25204279,5.877
Avenue des Papalins,4229274,25204279,4939779383,5.809
Avenue des Papalins,4229274,4939779383,4939779382,5.029
Avenue des Papalins,4229274,4939779382,4939779384,4.956
Avenue des Papalins,4229274,4939779384,4939779385,5.622
Avenue des Papalins,4229274,4939779385,4939779380,10.236
Avenue des Papalins,4229274,4939779380,4939779379,5.263
Avenue des Papalins,4229274,4939779379,25177418,5.25
Place Moulins,4229298,1868723951,1868723942,5.188
Place Moulins,4229298,1868723942,1868723914,6.946
Place Moulins,4229298,1868723914,1868723945,8.355
Place Moulins,4229298,1868723945,21934198,5.996
Place Moulins,4229298,21934198,6850933458,3.395
Place Moulins,4229298,6850933458,2189614149,23.121
Avenue de Monte-Carlo,4229308,918118157,21912962,38.934
Boulevard Rainier III,4229325,25197949,8733465482,4.728
Boulevard Rainier III,4229325,8733465482,3883559270,3.415
Boulevard Rainier III,4229325,3883559270,8733465481,3.822
Boulevard Rainier III,4229325,8733465481,1079751243,3.087
Boulevard Rainier III,4229325,1079751243,8733465480,4.974
